,Country Name,Country Code,2017,2018,2019,Average GDP
25,Bermuda,BMU,7142316000.0,7224329000.0,7484113000.0,7283586000.0
26,Bolivia,BOL,37508642165.3366,40287647930.4761,40895322843.7851,39563870979.86594
27,Brazil,BRA,2062831045935.95,1885482534238.33,1839758040765.62,1929357206979.9668
28,Barbados,BRB,4978000000.0,5086500000.0,5209000000.0,5091166666.666667
29,Brunei Darussalam,BRN,12128104859.1498,13567351175.0315,13469422958.5105,13054959664.230598
30,Bhutan,BTN,2450364928.07302,2446866404.93058,2530547157.56678,2475926163.52346
31,Botswana,BWA,17405588070.4332,18663265549.0196,18340480936.0444,18136444851.8324
32,Central African Republic,CAF,2072350151.1306102,2220978978.17342,2220307368.69593,2171212165.9999866
33,Canada,CAN,1649878054226.82,1716262621082.22,1736425629519.96,1700855434943.0
34,Central Europe and the Baltics,CEB,1463498188698.06,1644435698536.64,1668851928931.89,1592261938722.1965
35,Switzerland,CHE,679950481622.843,705140620046.7,703082435158.864,696057845609.469
37,Chile,CHL,277044950259.009,298258019275.049,282318159744.65,285873709759.56934
38,China,CHN,12310409370892.8,13894817549374.2,14342903006431.3,13516043308899.432
39,Cote d'Ivoire,CIV,51588158717.5348,58011466450.8643,58539424929.7248,56046350032.70797
40,Cameroon,CMR,35009262788.15,38694156862.9922,39007354359.2798,37570258003.47401
41,"Congo, Dem. Rep.",COD,38019265625.8845,46831342212.5473,50400746171.4239,45083784669.9519
42,"Congo, Rep.",COG,11198674674.3816,13518403446.9566,12267392146.5888,12328156755.975668
43,Colombia,COL,311883730690.12897,333568923004.469,323615979418.651,323022877704.4163
44,Comoros,COM,1077439662.5798,1178530757.7232802,1165839927.0632699,1140603449.1221168
45,Cabo Verde,CPV,1769787215.14611,1966983316.56524,1981845740.3582802,1906205424.0232098
46,Costa Rica,CRI,58481858042.5721,60553901420.085,61801385049.0716,60279048170.57623
47,Caribbean small states,CSS,71452564226.3475,74967267520.1689,77721714917.8506,74713848888.12233
49,Curacao,CUW,3116610111.7318397,3127908044.69274,3101787709.49721,3115435288.6405964
51,Cyprus,CYP,22729184365.1152,25309818138.8758,24948935408.0376,24329312637.342865
52,Czech Republic,CZE,218628940951.675,248908731817.50198,250680504529.647,239406059099.608
53,Germany,DEU,3682602479929.42,3963767526250.98,3861123558039.21,3835831188073.203
54,Djibouti,DJI,2751461055.59307,3012820409.63313,3324634256.1332397,3029638573.78648
55,Dominica,DMA,519837037.037037,551074074.074074,582403703.703704,551104938.271605
56,Denmark,DNK,332121063806.391,356879499797.896,350104327658.675,346368297087.654
57,Dominican Republic,DOM,79997975622.7604,85555378043.7999,88941299734.2073,84831551133.5892
58,Algeria,DZA,170163165960.516,175405660377.358,171091289782.245,172220038706.70633
59,East Asia & Pacific (excluding high income),EAP,14835961478596.2,16594146987960.9,17214775860650.6,16214961442402.568
60,Early-demographic dividend,EAR,11399719349294.5,11645984950915.1,11989867025219.9,11678523775143.166
61,East Asia & Pacific,EAS,24222685964338.3,26351346134237.6,26987767528542.9,25853933209039.605
62,Europe & Central Asia (excluding high income),ECA,3114811233223.44,3192144799381.44,3248461689441.89,3185139240682.2563
63,Europe & Central Asia,ECS,21610837008711.6,23145668465857.4,22792819661712.7,22516441712093.902
64,Ecuador,ECU,104295862000.0,107562008000.0,107435665000.0,106431178333.33333
65,"Egypt, Arab Rep.",EGY,235733695652.17398,249712999437.254,303092255125.285,262846316738.23764
66,Euro area,EMU,12671044522003.4,13686889517984.1,13356063677260.5,13237999239082.666
68,Spain,ESP,1312539279462.36,1422153839840.78,1393490524517.64,1376061214606.9268
69,Estonia,EST,26951648828.5789,30631142226.8533,31471100656.2431,29684630570.55843
70,Ethiopia,ETH,81770791970.982,84269348327.3454,95912590628.1412,87317576975.48953
71,European Union,EUU,14758432346844.8,15965026482630.7,15626448476438.3,15449969101971.266
72,Fragile and conflict affected situations,FCS,1569590877815.66,1698248056693.35,1778456492418.56,1682098475642.5234
73,Finland,FIN,255232257243.53,275946554578.823,269296310180.392,266825040667.58167
74,Fiji,FJI,5353404418.664129,5581393120.62853,5496250694.31587,5477016077.86951
75,France,FRA,2595151045197.65,2787863958885.49,2715518274227.45,2699511092770.197
78,Gabon,GAB,14929488770.7315,16862282413.8778,16874450215.1351,16222073799.9148
79,United Kingdom,GBR,2666229179958.01,2860667727551.97,2829108219165.8,2785335042225.2603
80,Georgia,GEO,16242916915.7203,17599700090.762,17477255545.6705,17106624184.050934
81,Ghana,GHA,58998132329.6173,65556464048.1539,66983634223.943,63846076867.23807
83,Guinea,GIN,10324668266.5921,10907214993.5687,12296665331.192,11176182863.784266
84,"Gambia, The",GMB,1504909753.2874599,1670670668.5939,1826073739.8252199,1667218053.9021933
85,Guinea-Bissau,GNB,1350177127.5523,1458868241.85588,1339449165.48759,1382831511.6319234
86,Equatorial Guinea,GNQ,12200914929.5961,13278488567.3058,11026774945.3415,12168726147.414467
87,Greece,GRC,203588424740.3,218138367208.79898,209852761132.839,210526517693.97934
88,Grenada,GRD,1125685185.18519,1168696296.2963,1210603703.7037,1168328395.0617301
90,Guatemala,GTM,71612352644.9734,73118147941.2704,76710355347.0968,73813618644.44687
92,Guyana,GUY,4748174334.14044,4787635821.28928,5173759527.57794,4903189894.335887
93,High income,HIC,51468319156973.6,54656884279246.1,55140634994666.1,53755279476961.94
94,"Hong Kong SAR, China",HKG,341244161576.759,361696880780.762,365711532816.90704,356217525058.14264
95,Honduras,HND,23136232229.6069,24024189735.8876,25095395475.0393,24085272480.177933
96,Heavily indebted poor countries (HIPC),HPC,713187205161.6129,759123536838.027,783061756161.729,751790832720.4564
97,Croatia,HRV,55481644098.0495,61375222347.0256,60752588976.3175,59203151807.13087
98,Haiti,HTI,14213814582.7938,15965670198.4548,14332163266.3977,14837216015.882101
99,Hungary,HUN,142961605733.026,160418835850.90698,163469042867.956,155616494817.29633
100,IBRD only,IBD,28864183920440.6,30807716110874.3,31604112806477.3,30425337612597.402
101,IDA & IBRD total,IBT,30964942653522.8,33032316632670.9,33917225227399.3,32638161504531.0
102,IDA total,IDA,2107387269941.84,2231098324742.68,2320313648145.49,2219599747610.0034
103,IDA blend,IDB,922589446187.657,964268064192.7909,991547520067.22,959468343482.556
104,Indonesia,IDN,1015618742565.81,1042240309412.58,1119190780752.8,1059016610910.3969
105,IDA only,IDX,1185503744780.45,1268823087329.57,1331970889524.39,1262099240544.8035
107,India,IND,2652754685834.59,2713165057513.35,2868929415617.02,2744949719654.9863
109,Ireland,IRL,335663113507.851,382674360648.245,388698711348.156,369012061834.7507
111,Iraq,IRQ,195473049873.096,224228010473.773,234094042938.917,217931701095.262
112,Iceland,ISL,24488176540.5908,25737594324.022003,24188038473.5438,24804603112.718872
113,Israel,ISR,353253406982.75104,370587977125.73206,394652210295.849,372831198134.77734
114,Italy,ITA,1961796197354.36,2091544955092.31,2003576145498.04,2018972432648.2366
115,Jamaica,JAM,14806340821.0871,15713908816.1463,16458071067.8176,15659440235.016998
116,Jordan,JOR,41408960786.8028,42932112676.0563,44502895861.6837,42947989774.8476
117,Japan,JPN,4866864409657.68,4954806619995.19,5081769542379.77,4967813524010.88
118,Kazakhstan,KAZ,166805800595.704,179339994859.38397,181665908556.499,175937234670.52902
119,Kenya,KEN,78965004656.1823,87778582964.1388,95503088538.092,87415558719.47102
120,Kyrgyz Republic,KGZ,7702934800.12836,8271108638.399309,8454619607.81795,8142887682.115207
121,Cambodia,KHM,22177200511.5811,24571753583.4922,27089389786.979,24612781294.017437
122,Kiribati,KIR,187276210.91355,196737895.99521798,194647201.946472,192887102.9517466
123,St. Kitts and Nevis,KNA,996944444.444444,1010822222.22222,1053244444.44444,1020337037.0370346
124,"Korea, Rep.",KOR,1623901496835.79,1724845615629.26,1646739219509.89,1665162110658.3132
125,Kuwait,KWT,120707220573.68901,140645364238.411,134628542746.97,131993709186.35669
126,Latin America & Caribbean (excluding high income),LAC,5425412038876.06,5226072829129.24,5149595087470.17,5267026651825.157
127,Lao PDR,LAO,16853087485.4118,17953786416.1431,18173839147.4011,17660237682.985332
128,Lebanon,LBN,53140638269.1211,54961275741.5589,51991634491.6345,53364516167.43816
129,Liberia,LBR,3285455000.0,3264000000.0,3070518100.0,3206657700.0
130,Libya,LBY,37883243650.452,52607888717.9487,52091152228.3425,47527428198.9144
131,St. Lucia,LCA,1999090407.4074101,2065875074.07407,2122450629.62963,2062472037.037037
132,Latin America & Caribbean,LCN,5995428836310.14,5823558182037.59,5733773582151.17,5850920200166.3
133,Least developed countries: UN classification,LDC,1033422643377.55,1073440853752.05,1115238042585.36,1074033846571.6533
134,Low income,LIC,503283508816.823,518428827997.3,541511926907.27295,521074754573.79865
136,Sri Lanka,LKA,87428125557.573,88425889592.1519,84008783756.068,86620932968.59764
137,Lower middle income,LMC,5768755648290.69,6007305623255.79,6334933300545.64,6036998190697.374
138,Low & middle income,LMY,29869835182245.6,31817960829724.9,32709070487543.0,31465622166504.5
139,Lesotho,LSO,2405289384.40985,2575892261.5404396,2376328637.2631803,2452503427.7378235
140,Late-demographic dividend,LTE,20547417514605.1,22508844559569.0,22983532467508.6,22013264847227.566
141,Lithuania,LTU,47758736931.7801,53722883091.3513,54627411860.4705,52036343961.20063
142,Luxembourg,LUX,64181944722.7283,70919958015.5247,71104919108.1411,68735607282.13136
143,Latvia,LVA,30458763245.5118,34416012859.1866,34102913582.4235,32992563229.04063
144,"Macao SAR, China",MAC,50751059058.0613,55084050789.7182,53859116535.5306,53231408794.43671
146,Morocco,MAR,109682728023.112,118096227400.092,119700325461.938,115826426961.71399
148,Moldova,MDA,9669759987.026329,11456717193.2501,11968713370.4969,11031730183.59111
149,Madagascar,MDG,13176313233.1978,13853433947.6241,14114631280.6774,13714792820.499765
150,Maldives,MDV,4754352301.4104,5299773145.08744,5642179170.45898,5232101538.985607
151,Middle East & North Africa,MEA,3272607336333.91,3566140736118.84,3649607782728.21,3496118618393.654
152,Mexico,MEX,1158913035796.37,1222348807283.2,1268870527160.03,1216710790079.867
154,Middle income,MIC,29355518486024.9,31284038166250.9,32153305760637.5,30930954137637.766
155,North Macedonia,MKD,11307058382.3435,12683073866.1105,12547040498.9077,12179057582.453901
156,Mali,MLI,15365627045.0866,17070758732.1991,17279566718.6087,16571984165.298132
157,Malta,MLT,13146963159.1185,14750790658.4025,14989415684.1203,14295723167.213766
158,Myanmar,MMR,68945867477.6054,76168043981.5932,76085852617.1371,73733254692.1119
160,Montenegro,MNE,4844606145.7683,5504255213.578711,5542577964.981461,5297146441.442824
161,Mongolia,MNG,11425755279.5395,13108769495.7425,13996719329.4097,12843748034.897232
163,Mozambique,MOZ,13219084261.3664,14845870050.7092,15291448211.603,14452134174.559534
164,Mauritania,MRT,6758390728.7173395,7049169770.863991,7600656943.9750595,7136072481.185463
165,Mauritius,MUS,13259351418.4459,14181951058.5129,14048430518.5561,13829910998.504967
166,Malawi,MWI,6303292264.18905,6917301908.62757,7666704427.00915,6962432866.608589
167,Malaysia,MYS,319112136545.438,358715057123.739,364681367531.68396,347502853733.6203
168,North America,NAC,21176374062226.8,22303646726082.2,23177135742520.0,22219052176943.0
169,Namibia,NAM,12741746523.8632,13454211343.5949,12366528259.1844,12854162042.214167
171,Niger,NER,11189541083.3975,12846952856.8458,12911689659.351002,12316061199.864767
172,Nigeria,NGA,375746469538.666,397190484464.308,448120428858.769,407019127620.581
173,Nicaragua,NIC,13785909906.1925,13063904770.3561,12520915291.1837,13123576655.910767
174,Netherlands,NLD,833869641687.06,914043438179.607,907050863145.097,884987981003.9214
175,Norway,NOR,398393955268.99,434166615431.909,403336363636.364,411965644779.08765
176,Nepal,NPL,25180583770.2719,29173513475.7073,30641380603.9699,28331825949.983032
177,Nauru,NRU,109585941.62455699,124021393.69041201,118223430.12444599,117276921.81313832
178,New Zealand,NZL,205415864857.98398,207920613961.749,206928765543.935,206755081454.556
179,OECD members,OED,50320155133068.0,53201637655856.3,53699374881339.8,52407055890088.03
180,Oman,OMN,70598026282.7982,79788768968.949,76331518668.5771,75572771306.77477
181,Other small states,OSS,398893497014.27,442417900539.206,432092892349.40204,424468096634.2927
182,Pakistan,PAK,304567253219.097,314567541558.339,278221906022.841,299118900266.75903
183,Panama,PAN,62219000000.0,65128200000.0,66800800000.0,64716000000.0
184,Peru,PER,211007207483.515,222044970486.21698,226848050819.525,219966742929.75232
185,Philippines,PHL,328480738147.216,346841896890.281,376795508678.85297,350706047905.45
186,Palau,PLW,286106800.0,280435700.0,268354919.433594,278299139.811198
187,Papua New Guinea,PNG,22742613549.3956,24109509856.1866,24829107011.0701,23893743472.217434
188,Poland,POL,526508877305.32104,587411745161.558,595858207011.5121,569926276492.797
189,Pre-demographic dividend,PRE,1267095772749.34,1338754447613.99,1403794376560.53,1336548198974.62
190,Puerto Rico,PRI,103445500000.0,100979900000.0,104988600000.0,103138000000.0
192,Portugal,PRT,221357874718.93,242313116577.96698,238785085030.988,234152025442.62833
193,Paraguay,PRY,39008900331.6733,40384691790.5685,38145288939.8488,39179627020.69686
195,Pacific island small states,PSS,10212875641.1009,10667782837.6444,10634784072.6223,10505147517.122534
196,Post-demographic dividend,PST,47470259139153.2,50282104947774.3,50769917916181.5,49507427334369.664
198,Qatar,QAT,161099122215.307,183334953813.20898,175837550996.185,173423875674.90033
199,Romania,ROU,211695422578.655,241457403085.042,250077444017.08398,234410089893.59366
200,Russian Federation,RUS,1574199387070.9,1669583089322.96,1699876578871.35,1647886351755.07
201,Rwanda,RWA,9253098954.27769,9635951159.79293,10354417725.1555,9747822613.075373
202,South Asia,SAS,3345716338949.23,3445471615274.75,3591836570466.89,3461008174896.957
203,Saudi Arabia,SAU,688586244286.5121,786521831571.957,792966838161.659,756024971340.0428
204,Sudan,SDN,45021077955.327995,33128480498.7296,30513456084.7961,36221004846.28456
205,Senegal,SEN,20996564751.5994,23236007428.2582,23578084052.0147,22603552077.290768
206,Singapore,SGP,341863349989.138,373217081850.534,372062527488.63794,362380986442.76996
207,Solomon Islands,SLB,1483758906.6105402,1593964162.21314,1589913622.2379901,1555878897.0205567
208,Sierra Leone,SLE,3739577973.2394295,4085114794.22324,4121733705.29165,3982142157.5847726
209,El Salvador,SLV,24979200000.0,26117400000.0,27022640000.0,26039746666.666668
212,Serbia,SRB,44179055279.8887,50640650221.4622,51475016532.1293,48764907344.4934
213,Sub-Saharan Africa (excluding high income),SSA,1626990301193.13,1705376028962.5,1751180043654.43,1694515457936.6865
215,Sub-Saharan Africa,SSF,1641784086541.64,1721156393779.7,1766941400078.09,1709960626799.8098
216,Small states,SST,480558936881.719,528052950897.02,520457174770.632,509689687516.45703
217,Sao Tome and Principe,STP,375614556.382313,412261829.64857596,418637388.988052,402171258.339647
218,Suriname,SUR,3216207914.31281,3464656616.41541,3697371949.5843396,3459412160.1041865
219,Slovak Republic,SVK,95494424978.5166,105701930962.982,105079673009.733,102092009650.41052
220,Slovenia,SVN,48586603447.6954,54161636034.6517,54174227308.8862,52307488930.4111
221,Sweden,SWE,541018749769.09705,555455371487.089,530883869004.97705,542452663420.3877
222,Eswatini,SWZ,4402972999.534861,4665424249.061561,4471598726.6436,4513331991.746674
224,Seychelles,SYC,1524486800.36049,1586008999.74841,1703387387.32319,1604627729.1440299
226,Turks and Caicos Islands,TCA,1022365000.0,1113178000.0,1197415000.0,1110986000.0
227,Chad,TCD,10000395242.1457,11239167048.4916,11314951342.7807,10851504544.472666
228,East Asia & Pacific (IDA & IBRD countries),TEA,14807652296163.7,16562482144146.1,17181893729969.4,16184009390093.064
229,Europe & Central Asia (IDA & IBRD countries),TEC,3908497177205.46,4082389169975.06,4155157371202.28,4048681239460.933
230,Togo,TGO,4819949975.26077,5364369025.6397295,5490272413.38702,5224863804.7625065
231,Thailand,THA,456294704152.64703,506514103905.26794,543548969968.693,502119259342.20264
232,Tajikistan,TJK,7157865188.25222,7522947810.12326,8116626794.25837,7599146597.544617
234,Latin America & the Caribbean (IDA & IBRD countries),TLA,5755251917064.24,5581213225245.97,5487957496814.37,5608140879708.194
235,Timor-Leste,TLS,1599338100.0,1559894900.0,2017924900.0,1725719300.0
237,Tonga,TON,460379144.989821,489235527.395387,512350059.421629,487321577.2689457
238,South Asia (IDA & IBRD),TSA,3345716338949.23,3445471615274.75,3591836570466.89,3461008174896.957
239,Sub-Saharan Africa (IDA & IBRD countries),TSS,1641784086541.64,1721156393779.71,1766941400078.09,1709960626799.8132
240,Trinidad and Tobago,TTO,22474828527.1775,23808146747.7994,24269714809.9078,23517563361.628235
241,Tunisia,TUN,39802430354.6334,39770297328.9509,38796687568.157005,39456471750.58044
242,Turkey,TUR,858988610574.035,778381859840.942,761425499358.159,799598656591.0454
243,Tuvalu,TUV,40619251.992642604,42588164.973102205,47271463.3298575,43492960.0985341
244,Tanzania,TZA,53320625958.5628,58001200572.3965,63177068174.549,58166298235.16943
245,Uganda,UGA,30756466548.0543,32916147253.2718,35165157016.9125,32945923606.07953
246,Ukraine,UKR,112190355158.17801,130901858421.72,153781069118.148,132291094232.682
247,Upper middle income,UMC,23580671477850.7,25273285727694.1,25807761543981.8,24887239583175.53
248,Uruguay,URY,59530088537.3307,59596885024.3487,56045912952.9732,58390962171.55087
249,United States,USA,19519353692000.0,20580159776000.0,21433226000000.0,20510913156000.0
250,Uzbekistan,UZB,59159945320.5667,50392607758.2324,57921286440.3495,55824613173.04954
251,St. Vincent and the Grenadines,VCT,792177777.777778,811300000.0,824718518.518518,809398765.4320987
255,Vietnam,VNM,223779865815.183,245213686369.15698,261921244843.172,243638265675.8373
256,Vanuatu,VUT,880043553.7484419,914700508.22242,934239973.8125731,909661345.261145
257,World,WLD,81306030232472.9,86439423191635.8,87798525859220.9,85181326427776.53
258,Samoa,WSM,832153612.557186,821496064.5261849,852250190.985485,835299956.022952
259,Kosovo,XKX,7245707184.816991,7942961738.308929,7926133713.613971,7704934212.246631
260,"Yemen, Rep.",YEM,26736139802.003998,23486270352.3327,22581081993.945,24267830716.093903
261,South Africa,ZAF,349554116683.818,368288939768.322,351431649241.43896,356424901897.8597
262,Zambia,ZMB,25868165344.8185,26312140828.64,23309773922.7582,25163360032.072235
263,Zimbabwe,ZWE,22040902300.0,24311560500.0,21440758800.0,22597740533.333332
